Fecha,Código Cliente,Sede,Tipo de Cuenta,Cliente Nuevo ,Neto,Iva
42742,D-647,Gavà,Plan de jubilación,Si,5775,0.21
42742,B-240,Tarragona,Plan de jubilación,No,13394,0.21
42742,B-430,Tarragona,Plan de jubilación,No,4431,0.21
42742,B-959,Tarragona,Cuenta corriente,No,10921,0.21
42742,B-857,Tarragona,Cuenta corriente,Si,12161,0.21
42742,C-823,Girona,Plan de jubilación,No,13471,0.21
42742,C-438,Girona,Ahorros,Si,6524,0.21
42742,C-714,Lleida,Cuenta corriente,Si,7039,0.21
42742,D-378,Lleida,Hipoteca,Si,4042,0.21
42743,A-212,Barcelona,Plan de jubilación,Si,14527,0.21
42743,D-253,Gavà,Hipoteca,Si,7779,0.21
42743,A-521,Gavà,Fondo de inversión,Si,11360,0.21
42743,A-553,Gavà,Plan de jubilación,Si,3008,0.21
42743,D-216,Tarragona,Cuenta corriente,No,13433,0.21
42743,C-246,Tarragona,Ahorros,No,4131,0.21
42743,D-656,Tarragona,Hipoteca,No,2856,0.21
42743,C-576,Girona,Cuenta corriente,No,9988,0.21
42743,D-261,Girona,Hipoteca,No,5155,0.21
42743,B-991,Girona,Hipoteca,No,1965,0.21
42743,B-289,Girona,Hipoteca,No,7904,0.21
42743,A-114,Girona,Cuenta corriente,No,1062,0.21
42743,D-642,Girona,Cuenta corriente,No,3556,0.21
42743,D-288,Girona,Hipoteca,Si,12681,0.21
42743,C-135,Lleida,Cuenta corriente,No,1057,0.21
42743,C-121,Lleida,Fondo de inversión,No,5339,0.21
42743,D-446,Lleida,Ahorros,No,4879,0.21
42743,B-403,Lleida,Fondo de inversión,Si,13270,0.21
42744,B-822,Barcelona,Cuenta corriente,Si,10202,0.21
42744,B-511,Barcelona,Ahorros,Si,12950,0.21
42744,D-748,Barcelona,Ahorros,Si,9066,0.21
42744,C-101,Gavà,Ahorros,Si,9461,0.21
42744,B-502,Gavà,Ahorros,Si,4417,0.21
42744,A-617,Gavà,Ahorros,No,1511,0.21
42744,A-127,Tarragona,Fondo de inversión,Si,13906,0.21
42744,D-433,Tarragona,Plan de jubilación,No,6789,0.21
42744,D-825,Girona,Hipoteca,Si,12538,0.21
42744,C-691,Girona,Cuenta corriente,No,13929,0.21
42744,A-927,Girona,Cuenta corriente,Si,5136,0.21
42744,A-994,Lleida,Ahorros,No,1387,0.21
42744,C-387,Lleida,Plan de jubilación,No,2863,0.21
42745,B-687,Barcelona,Plan de jubilación,No,9333,0.21
42745,A-980,Gavà,Ahorros,Si,13091,0.21
42745,C-496,Gavà,Ahorros,Si,12722,0.21
42745,A-275,Gavà,Cuenta corriente,No,5108,0.21
42745,B-967,Gavà,Hipoteca,Si,3627,0.21
42745,C-758,Gavà,Ahorros,No,7105,0.21
42745,D-423,Tarragona,Hipoteca,No,8731,0.21
42745,D-461,Tarragona,Ahorros,No,3283,0.21
42745,B-618,Girona,Plan de jubilación,No,11531,0.21
42745,A-971,Lleida,Ahorros,Si,11002,0.21
42746,B-982,Gavà,Fondo de inversión,Si,4819,0.21
42746,C-337,Gavà,Cuenta corriente,No,816,0.21
42746,B-351,Tarragona,Cuenta corriente,No,11004,0.21
42746,A-627,Tarragona,Plan de jubilación,Si,7684,0.21
42746,A-624,Tarragona,Cuenta corriente,No,13172,0.21
42746,D-441,Tarragona,Fondo de inversión,Si,7011,0.21
42746,D-140,Tarragona,Fondo de inversión,No,2468,0.21
42746,A-367,Tarragona,Cuenta corriente,No,13217,0.21
42746,B-198,Lleida,Cuenta corriente,Si,545,0.21
42747,B-247,Barcelona,Hipoteca,Si,4039,0.21
42747,A-962,Barcelona,Plan de jubilación,Si,11041,0.21
42747,D-714,Gavà,Ahorros,No,13433,0.21
42747,C-893,Gavà,Ahorros,Si,13790,0.21
42747,A-226,Tarragona,Plan de jubilación,Si,13208,0.21
42747,B-148,Tarragona,Hipoteca,No,12089,0.21
42747,D-538,Tarragona,Hipoteca,No,11076,0.21
42747,D-258,Girona,Hipoteca,No,10829,0.21
42748,B-206,Barcelona,Fondo de inversión,No,3734,0.21
42748,D-194,Gavà,Fondo de inversión,Si,6342,0.21
42748,B-267,Gavà,Ahorros,No,895,0.21
42748,A-877,Gavà,Cuenta corriente,Si,4351,0.21
42748,A-305,Tarragona,Cuenta corriente,No,5417,0.21
42748,B-872,Tarragona,Fondo de inversión,No,11878,0.21
42748,A-961,Girona,Hipoteca,Si,13439,0.21
42748,C-216,Girona,Cuenta corriente,Si,11313,0.21
42748,D-925,Lleida,Fondo de inversión,Si,258,0.21
42748,D-841,Lleida,Plan de jubilación,Si,12094,0.21
42748,A-811,Lleida,Plan de jubilación,Si,3172,0.21
42748,D-145,Lleida,Hipoteca,No,100,0.21
42749,C-231,Barcelona,Hipoteca,Si,11367,0.21
42749,B-438,Barcelona,Ahorros,No,1519,0.21
42749,A-117,Barcelona,Hipoteca,No,12551,0.21
42749,C-954,Barcelona,Plan de jubilación,Si,14821,0.21
42749,A-519,Barcelona,Cuenta corriente,Si,317,0.21
42749,B-644,Gavà,Ahorros,No,2517,0.21
42749,B-381,Gavà,Hipoteca,Si,3526,0.21
42749,B-110,Gavà,Fondo de inversión,Si,12393,0.21
42749,C-120,Gavà,Hipoteca,No,14562,0.21
42749,B-270,Girona,Cuenta corriente,No,14312,0.21
42749,C-303,Girona,Ahorros,No,3890,0.21
42749,D-829,Lleida,Fondo de inversión,No,7620,0.21
42750,A-471,Barcelona,Plan de jubilación,No,12579,0.21
42750,A-401,Barcelona,Ahorros,Si,11825,0.21
42750,B-150,Gavà,Hipoteca,Si,12777,0.21
42750,C-627,Gavà,Ahorros,No,6950,0.21
42750,D-158,Tarragona,Plan de jubilación,Si,8894,0.21
42750,B-450,Tarragona,Fondo de inversión,Si,6217,0.21
42750,D-247,Tarragona,Plan de jubilación,No,14194,0.21
42750,A-859,Girona,Plan de jubilación,Si,9263,0.21
42750,D-647,Girona,Ahorros,No,5747,0.21
42750,D-478,Girona,Fondo de inversión,No,10242,0.21
42750,B-491,Lleida,Hipoteca,No,5681,0.21
42750,A-212,Lleida,Ahorros,No,5862,0.21
42751,D-655,Barcelona,Cuenta corriente,No,8127,0.21
42751,B-376,Barcelona,Fondo de inversión,No,4189,0.21
42751,B-987,Barcelona,Fondo de inversión,Si,9252,0.21
42751,B-405,Gavà,Cuenta corriente,No,10359,0.21
42751,C-785,Tarragona,Cuenta corriente,No,14506,0.21
42751,A-220,Tarragona,Ahorros,Si,12332,0.21
42751,D-877,Tarragona,Plan de jubilación,No,828,0.21
42751,C-211,Girona,Cuenta corriente,Si,9191,0.21
42751,A-160,Girona,Cuenta corriente,No,6530,0.21
42751,D-611,Girona,Hipoteca,No,13427,0.21
42751,B-860,Girona,Fondo de inversión,No,7360,0.21
42751,C-291,Lleida,Fondo de inversión,Si,13008,0.21
42751,B-386,Lleida,Fondo de inversión,Si,4317,0.21
42751,A-935,Lleida,Ahorros,Si,8117,0.21
42751,A-723,Lleida,Hipoteca,No,11990,0.21
42752,B-344,Barcelona,Fondo de inversión,Si,3066,0.21
42752,B-588,Barcelona,Cuenta corriente,No,5652,0.21
42752,D-626,Gavà,Fondo de inversión,Si,6749,0.21
42752,D-806,Gavà,Plan de jubilación,Si,7886,0.21
42752,B-596,Gavà,Fondo de inversión,No,2764,0.21
42752,B-628,Tarragona,Fondo de inversión,No,13804,0.21
42752,C-940,Tarragona,Cuenta corriente,Si,6593,0.21
42752,C-640,Tarragona,Plan de jubilación,No,13519,0.21
42752,B-256,Tarragona,Fondo de inversión,No,7501,0.21
42752,D-580,Tarragona,Hipoteca,Si,198,0.21
42752,D-171,Girona,Fondo de inversión,No,14189,0.21
42752,D-775,Girona,Cuenta corriente,Si,13749,0.21
42752,A-352,Girona,Fondo de inversión,No,2425,0.21
42752,B-138,Girona,Ahorros,Si,2376,0.21
42752,B-617,Girona,Cuenta corriente,Si,8512,0.21
42752,D-403,Girona,Ahorros,Si,7671,0.21
42752,C-903,Lleida,Ahorros,No,6920,0.21
42752,A-407,Lleida,Cuenta corriente,No,3780,0.21
42752,A-384,Lleida,Hipoteca,Si,7935,0.21
42752,A-387,Lleida,Cuenta corriente,No,7858,0.21
42753,B-457,Barcelona,Cuenta corriente,Si,5516,0.21
42753,A-252,Barcelona,Fondo de inversión,Si,1833,0.21
42753,A-652,Barcelona,Fondo de inversión,No,13765,0.21
42753,A-603,Gavà,Cuenta corriente,No,7511,0.21
42753,B-393,Gavà,Ahorros,No,12409,0.21
42753,C-923,Gavà,Plan de jubilación,No,11997,0.21
42753,B-249,Tarragona,Cuenta corriente,Si,12605,0.21
42753,C-245,Tarragona,Cuenta corriente,Si,14447,0.21
42753,D-458,Tarragona,Hipoteca,No,3733,0.21
42753,B-987,Tarragona,Fondo de inversión,Si,2335,0.21
42753,A-667,Girona,Hipoteca,Si,9542,0.21
42753,B-271,Girona,Fondo de inversión,No,2080,0.21
42753,A-420,Lleida,Ahorros,Si,7833,0.21
42753,C-885,Lleida,Hipoteca,No,12106,0.21
42754,C-740,Barcelona,Hipoteca,Si,6606,0.21
42754,C-765,Barcelona,Hipoteca,Si,8352,0.21
42754,C-729,Barcelona,Ahorros,Si,8248,0.21
42754,C-971,Barcelona,Fondo de inversión,Si,8686,0.21
42754,A-958,Barcelona,Cuenta corriente,No,13540,0.21
42754,A-631,Barcelona,Fondo de inversión,No,12226,0.21
42754,C-738,Gavà,Plan de jubilación,Si,4879,0.21
42754,C-889,Gavà,Plan de jubilación,No,13383,0.21
42754,C-987,Gavà,Ahorros,No,6563,0.21
42754,A-743,Gavà,Cuenta corriente,Si,5713,0.21
42754,D-760,Tarragona,Ahorros,No,541,0.21
42754,A-202,Tarragona,Fondo de inversión,No,9681,0.21
42754,A-273,Tarragona,Cuenta corriente,Si,5004,0.21
42754,C-160,Tarragona,Cuenta corriente,Si,5609,0.21
42754,B-626,Tarragona,Ahorros,No,14382,0.21
42754,A-467,Girona,Cuenta corriente,Si,9414,0.21
42754,B-860,Girona,Ahorros,No,3829,0.21
42754,A-910,Girona,Ahorros,No,13523,0.21
42754,A-841,Girona,Plan de jubilación,Si,8447,0.21
42754,A-919,Lleida,Plan de jubilación,No,10493,0.21
42755,D-235,Barcelona,Ahorros,Si,7110,0.21
42755,D-376,Barcelona,Ahorros,Si,12437,0.21
42755,B-228,Barcelona,Plan de jubilación,Si,647,0.21
42755,C-838,Gavà,Cuenta corriente,No,11514,0.21
42755,A-518,Gavà,Plan de jubilación,Si,10382,0.21
42755,D-350,Gavà,Fondo de inversión,Si,1398,0.21
42755,D-868,Gavà,Plan de jubilación,Si,1726,0.21
42755,D-626,Gavà,Fondo de inversión,No,6158,0.21
42755,D-301,Gavà,Cuenta corriente,Si,7354,0.21
42755,A-143,Gavà,Plan de jubilación,No,8408,0.21
42755,C-740,Gavà,Cuenta corriente,No,14542,0.21
42755,A-923,Gavà,Fondo de inversión,Si,9780,0.21
42755,C-203,Tarragona,Cuenta corriente,Si,6858,0.21
42755,B-124,Tarragona,Fondo de inversión,No,6635,0.21
42755,A-538,Tarragona,Plan de jubilación,Si,14676,0.21
42755,C-646,Tarragona,Ahorros,No,5223,0.21
42755,B-465,Tarragona,Plan de jubilación,Si,13019,0.21
42755,C-686,Girona,Hipoteca,No,12802,0.21
42756,C-330,Barcelona,Hipoteca,Si,7844,0.21
42756,B-894,Gavà,Plan de jubilación,Si,9455,0.21
42756,A-597,Gavà,Cuenta corriente,No,9052,0.21
42756,A-343,Gavà,Plan de jubilación,No,14046,0.21
42756,C-535,Gavà,Ahorros,Si,415,0.21
42756,C-603,Tarragona,Plan de jubilación,Si,4324,0.21
42756,A-626,Tarragona,Cuenta corriente,No,671,0.21
42756,D-205,Tarragona,Hipoteca,Si,14716,0.21
42756,A-654,Tarragona,Fondo de inversión,No,14503,0.21
42756,C-714,Girona,Plan de jubilación,No,7242,0.21
42756,D-614,Lleida,Hipoteca,Si,9950,0.21
42757,B-133,Barcelona,Plan de jubilación,No,8199,0.21
42757,C-623,Barcelona,Ahorros,Si,3396,0.21
42757,B-936,Barcelona,Cuenta corriente,Si,2308,0.21
42757,B-184,Gavà,Hipoteca,Si,609,0.21
42757,B-344,Gavà,Ahorros,No,1672,0.21
42757,D-275,Tarragona,Fondo de inversión,Si,5341,0.21
42757,A-810,Tarragona,Plan de jubilación,Si,679,0.21
42757,C-752,Girona,Plan de jubilación,Si,6451,0.21
42757,D-304,Girona,Ahorros,No,7000,0.21
42757,B-866,Girona,Plan de jubilación,Si,1470,0.21
42757,C-813,Lleida,Cuenta corriente,No,4894,0.21
42757,C-553,Lleida,Hipoteca,No,1730,0.21
42757,C-796,Lleida,Plan de jubilación,No,5334,0.21
42757,B-772,Lleida,Cuenta corriente,No,11041,0.21
42757,A-630,Lleida,Ahorros,No,6800,0.21
42758,A-169,Barcelona,Plan de jubilación,No,3890,0.21
42758,A-150,Barcelona,Ahorros,Si,6587,0.21
42758,B-907,Barcelona,Ahorros,Si,3863,0.21
42758,A-957,Barcelona,Fondo de inversión,Si,11445,0.21
42758,B-527,Barcelona,Plan de jubilación,No,14061,0.21
42758,B-709,Gavà,Cuenta corriente,Si,6081,0.21
42758,C-981,Tarragona,Plan de jubilación,No,14952,0.21
42758,B-539,Tarragona,Fondo de inversión,No,14801,0.21
42758,C-813,Tarragona,Hipoteca,Si,664,0.21
42758,D-254,Lleida,Ahorros,Si,5480,0.21
42758,B-690,Lleida,Hipoteca,No,13501,0.21
42758,C-282,Lleida,Fondo de inversión,No,11670,0.21
42758,A-344,Lleida,Plan de jubilación,Si,6354,0.21
42758,B-513,Lleida,Ahorros,Si,9891,0.21
42759,D-753,Barcelona,Ahorros,No,3315,0.21
42759,C-740,Barcelona,Fondo de inversión,Si,10518,0.21
42759,C-142,Barcelona,Fondo de inversión,Si,2698,0.21
42759,B-326,Gavà,Cuenta corriente,No,6717,0.21
42759,C-167,Gavà,Plan de jubilación,No,7751,0.21
42759,A-169,Tarragona,Fondo de inversión,No,10527,0.21
42759,D-352,Tarragona,Hipoteca,No,12607,0.21
42759,C-355,Girona,Ahorros,Si,4659,0.21
42759,B-405,Girona,Fondo de inversión,No,10235,0.21
42759,A-119,Girona,Cuenta corriente,No,13130,0.21
42759,A-127,Girona,Fondo de inversión,Si,12578,0.21
42759,B-616,Lleida,Fondo de inversión,Si,6372,0.21
42760,B-608,Barcelona,Hipoteca,No,14859,0.21
42760,B-357,Barcelona,Cuenta corriente,No,9724,0.21
42760,C-263,Barcelona,Plan de jubilación,Si,10936,0.21
42760,D-327,Barcelona,Fondo de inversión,No,3690,0.21
42760,B-626,Barcelona,Hipoteca,Si,981,0.21
42760,D-167,Gavà,Fondo de inversión,No,11142,0.21
42760,D-300,Gavà,Cuenta corriente,Si,5836,0.21
42760,C-937,Tarragona,Ahorros,Si,8146,0.21
42760,C-639,Tarragona,Cuenta corriente,No,10457,0.21
42760,A-478,Girona,Cuenta corriente,Si,6907,0.21
42760,B-469,Lleida,Hipoteca,No,4107,0.21
42760,B-690,Lleida,Fondo de inversión,No,12245,0.21
42760,D-478,Lleida,Hipoteca,Si,8257,0.21
42761,D-982,Barcelona,Fondo de inversión,Si,1015,0.21
42761,B-129,Barcelona,Ahorros,Si,8283,0.21
42761,D-757,Barcelona,Cuenta corriente,No,6467,0.21
42761,B-179,Gavà,Fondo de inversión,No,9042,0.21
42761,C-768,Gavà,Ahorros,Si,2129,0.21
42761,B-660,Girona,Fondo de inversión,Si,14523,0.21
42761,B-145,Girona,Cuenta corriente,No,7764,0.21
42761,D-237,Girona,Plan de jubilación,No,11103,0.21
42761,B-766,Lleida,Plan de jubilación,Si,5715,0.21
42761,A-466,Lleida,Plan de jubilación,No,8053,0.21
42761,C-214,Lleida,Plan de jubilación,Si,10067,0.21
42761,D-427,Lleida,Plan de jubilación,No,13727,0.21
42761,D-285,Lleida,Plan de jubilación,Si,11526,0.21
42761,D-185,Lleida,Hipoteca,No,9189,0.21
42762,B-869,Barcelona,Hipoteca,No,8896,0.21
42762,C-720,Barcelona,Hipoteca,No,14875,0.21
42762,C-631,Barcelona,Plan de jubilación,No,9272,0.21
42762,C-264,Barcelona,Cuenta corriente,Si,3737,0.21
42762,B-750,Gavà,Ahorros,Si,14990,0.21
42762,A-661,Gavà,Ahorros,No,3644,0.21
42762,C-736,Gavà,Fondo de inversión,Si,14128,0.21
42762,C-186,Gavà,Fondo de inversión,Si,2951,0.21
42762,C-317,Gavà,Fondo de inversión,Si,10770,0.21
42762,A-160,Tarragona,Cuenta corriente,Si,4836,0.21
42762,B-156,Girona,Ahorros,No,2622,0.21
42762,A-707,Girona,Cuenta corriente,No,11794,0.21
42762,C-841,Girona,Cuenta corriente,Si,11841,0.21
42763,C-644,Barcelona,Plan de jubilación,Si,4180,0.21
42763,B-506,Barcelona,Hipoteca,No,10030,0.21
42763,D-770,Barcelona,Cuenta corriente,Si,6078,0.21
42763,A-498,Gavà,Hipoteca,No,5746,0.21
42763,C-886,Tarragona,Ahorros,No,3680,0.21
42763,A-836,Tarragona,Hipoteca,No,6393,0.21
42763,A-134,Girona,Fondo de inversión,Si,12096,0.21
42763,D-503,Girona,Plan de jubilación,Si,3253,0.21
42763,C-197,Girona,Hipoteca,Si,8852,0.21
42763,B-647,Lleida,Fondo de inversión,Si,9411,0.21
42763,B-601,Lleida,Hipoteca,Si,5772,0.21
42763,B-417,Lleida,Ahorros,Si,10132,0.21
42763,B-879,Lleida,Fondo de inversión,No,11880,0.21
42764,C-586,Barcelona,Ahorros,Si,9239,0.21
42764,B-211,Gavà,Fondo de inversión,No,12730,0.21
42764,B-810,Gavà,Hipoteca,No,4323,0.21
42764,C-360,Tarragona,Ahorros,Si,5629,0.21
42764,D-905,Lleida,Hipoteca,No,14053,0.21
42765,B-873,Barcelona,Cuenta corriente,Si,4047,0.21
42765,D-500,Barcelona,Fondo de inversión,No,4155,0.21
42765,A-712,Barcelona,Hipoteca,No,9189,0.21
42765,D-184,Barcelona,Ahorros,Si,5623,0.21
42765,A-964,Barcelona,Fondo de inversión,Si,10258,0.21
42765,A-930,Gavà,Fondo de inversión,Si,4201,0.21
42765,D-739,Gavà,Cuenta corriente,No,8702,0.21
42765,D-495,Tarragona,Plan de jubilación,No,11755,0.21
42765,C-214,Girona,Cuenta corriente,No,4044,0.21
42765,C-455,Lleida,Cuenta corriente,Si,1203,0.21
42765,D-687,Lleida,Fondo de inversión,Si,1695,0.21
42765,C-193,Lleida,Ahorros,No,12861,0.21
42765,B-266,Lleida,Cuenta corriente,Si,9909,0.21
42766,D-431,Barcelona,Hipoteca,Si,13275,0.21
42766,B-814,Barcelona,Ahorros,No,2553,0.21
42766,C-530,Gavà,Cuenta corriente,No,10090,0.21
42766,C-250,Tarragona,Hipoteca,Si,11294,0.21
42766,D-654,Girona,Hipoteca,Si,7379,0.21
42766,D-308,Girona,Plan de jubilación,No,14775,0.21
42766,D-187,Girona,Cuenta corriente,No,7480,0.21
42766,A-710,Girona,Ahorros,Si,4679,0.21
42766,D-600,Lleida,Plan de jubilación,No,4478,0.21
42766,A-177,Lleida,Fondo de inversión,No,2880,0.21
42766,D-562,Lleida,Ahorros,No,4392,0.21
42767,C-852,Barcelona,Hipoteca,No,8021,0.21
42767,C-855,Barcelona,Plan de jubilación,No,6550,0.21
42767,D-390,Barcelona,Plan de jubilación,No,6700,0.21
42767,C-130,Gavà,Ahorros,No,14648,0.21
42767,A-864,Tarragona,Plan de jubilación,No,11448,0.21
42767,C-500,Tarragona,Fondo de inversión,Si,13176,0.21
42767,B-485,Tarragona,Ahorros,Si,11890,0.21
42767,C-834,Girona,Fondo de inversión,Si,13236,0.21
42767,B-316,Lleida,Hipoteca,No,983,0.21
42767,B-348,Lleida,Cuenta corriente,Si,534,0.21
42768,C-278,Barcelona,Plan de jubilación,No,8660,0.21
42768,C-411,Barcelona,Cuenta corriente,Si,12043,0.21
42768,A-794,Barcelona,Fondo de inversión,No,5272,0.21
42768,A-640,Barcelona,Plan de jubilación,Si,196,0.21
42768,C-120,Gavà,Hipoteca,Si,14190,0.21
42768,A-159,Tarragona,Fondo de inversión,Si,8330,0.21
42768,D-714,Tarragona,Fondo de inversión,No,1688,0.21
42768,B-648,Tarragona,Cuenta corriente,No,2951,0.21
42768,C-296,Lleida,Hipoteca,Si,4929,0.21
42769,D-690,Barcelona,Ahorros,No,5356,0.21
42769,D-418,Barcelona,Cuenta corriente,No,7356,0.21
42769,C-936,Barcelona,Ahorros,Si,2839,0.21
42769,D-101,Gavà,Hipoteca,No,10739,0.21
42769,D-920,Gavà,Fondo de inversión,Si,13450,0.21
42769,C-148,Gavà,Plan de jubilación,Si,14821,0.21
42769,C-123,Tarragona,Ahorros,Si,9744,0.21
42769,B-219,Tarragona,Cuenta corriente,No,11487,0.21
42769,B-937,Tarragona,Hipoteca,No,4281,0.21
42769,A-706,Girona,Cuenta corriente,No,11342,0.21
42769,C-889,Girona,Cuenta corriente,Si,11738,0.21
42769,C-627,Lleida,Ahorros,Si,10090,0.21
42769,A-323,Lleida,Cuenta corriente,Si,8075,0.21
42769,D-725,Lleida,Ahorros,Si,14346,0.21
42769,C-829,Lleida,Ahorros,No,8251,0.21
42770,B-592,Barcelona,Hipoteca,No,10337,0.21
42770,C-441,Barcelona,Fondo de inversión,Si,3253,0.21
42770,C-208,Barcelona,Ahorros,No,14731,0.21
42770,D-997,Gavà,Ahorros,Si,5931,0.21
42770,D-380,Gavà,Fondo de inversión,No,9859,0.21
42770,B-110,Gavà,Cuenta corriente,Si,12226,0.21
42770,C-467,Gavà,Cuenta corriente,Si,155,0.21
42770,B-295,Gavà,Ahorros,No,10893,0.21
42770,D-161,Gavà,Hipoteca,No,2823,0.21
42770,D-907,Gavà,Cuenta corriente,Si,12850,0.21
42770,A-656,Tarragona,Ahorros,Si,5716,0.21
42770,D-295,Tarragona,Fondo de inversión,No,8454,0.21
42770,C-492,Girona,Hipoteca,No,8396,0.21
42770,C-997,Lleida,Hipoteca,Si,7030,0.21
42770,A-786,Lleida,Fondo de inversión,Si,9877,0.21
42770,D-969,Lleida,Cuenta corriente,No,8809,0.21
42770,A-899,Lleida,Hipoteca,No,5378,0.21
42771,D-579,Barcelona,Fondo de inversión,No,5290,0.21
42771,A-179,Barcelona,Fondo de inversión,Si,9477,0.21
42771,D-448,Barcelona,Ahorros,No,4094,0.21
42771,C-535,Gavà,Plan de jubilación,Si,1367,0.21
42771,C-885,Gavà,Cuenta corriente,No,11655,0.21
42771,C-393,Gavà,Plan de jubilación,No,10183,0.21
42771,D-993,Tarragona,Plan de jubilación,No,6055,0.21
42771,C-250,Tarragona,Ahorros,Si,11344,0.21
42771,C-837,Tarragona,Ahorros,No,7078,0.21
42771,C-280,Tarragona,Plan de jubilación,Si,6538,0.21
42771,D-114,Girona,Cuenta corriente,Si,443,0.21
42771,A-858,Girona,Cuenta corriente,Si,10962,0.21
42771,C-126,Lleida,Ahorros,No,14923,0.21
42771,B-127,Lleida,Ahorros,No,4555,0.21
42772,D-912,Barcelona,Ahorros,No,4596,0.21
42772,A-205,Barcelona,Fondo de inversión,No,1824,0.21
42772,B-940,Barcelona,Hipoteca,Si,3380,0.21
42772,C-121,Barcelona,Plan de jubilación,No,14100,0.21
42772,C-788,Barcelona,Fondo de inversión,Si,11741,0.21
42772,C-464,Gavà,Plan de jubilación,No,2470,0.21
42772,B-442,Gavà,Plan de jubilación,No,7253,0.21
42772,D-608,Tarragona,Plan de jubilación,Si,12227,0.21
42772,A-530,Tarragona,Plan de jubilación,Si,8785,0.21
42772,D-223,Tarragona,Fondo de inversión,Si,7830,0.21
42772,A-907,Tarragona,Hipoteca,Si,1145,0.21
42772,C-792,Tarragona,Plan de jubilación,No,4418,0.21
42772,A-802,Girona,Cuenta corriente,Si,3525,0.21
42772,C-194,Lleida,Ahorros,Si,5656,0.21
42772,B-261,Lleida,Fondo de inversión,No,6006,0.21
42773,D-774,Barcelona,Ahorros,No,2357,0.21
42773,A-982,Barcelona,Ahorros,Si,13693,0.21
42773,B-195,Barcelona,Ahorros,Si,9740,0.21
42773,B-909,Gavà,Fondo de inversión,Si,12743,0.21
42773,D-981,Gavà,Hipoteca,No,531,0.21
42773,B-504,Gavà,Fondo de inversión,Si,2550,0.21
42773,D-836,Gavà,Plan de jubilación,No,777,0.21
42773,A-247,Gavà,Hipoteca,Si,2921,0.21
42773,B-328,Tarragona,Cuenta corriente,Si,8434,0.21
42773,B-748,Tarragona,Cuenta corriente,Si,7189,0.21
42773,D-363,Tarragona,Fondo de inversión,Si,13860,0.21
42773,A-542,Girona,Fondo de inversión,No,9692,0.21
42773,B-914,Lleida,Fondo de inversión,No,11553,0.21
42773,A-724,Lleida,Hipoteca,Si,2104,0.21
42774,C-828,Barcelona,Ahorros,No,242,0.21
42774,C-486,Barcelona,Hipoteca,Si,741,0.21
42774,A-325,Barcelona,Fondo de inversión,Si,11328,0.21
42774,B-597,Gavà,Fondo de inversión,Si,14459,0.21
42774,D-449,Gavà,Plan de jubilación,Si,14057,0.21
42774,C-471,Tarragona,Hipoteca,Si,3261,0.21
42774,A-151,Girona,Cuenta corriente,No,14622,0.21
42774,D-729,Girona,Ahorros,No,7242,0.21
42774,A-973,Lleida,Hipoteca,No,9458,0.21
42774,C-418,Lleida,Fondo de inversión,No,3852,0.21
42774,C-750,Lleida,Ahorros,No,9323,0.21
42774,C-745,Lleida,Cuenta corriente,No,5476,0.21
42775,D-362,Gavà,Cuenta corriente,No,6210,0.21
42775,D-684,Gavà,Fondo de inversión,Si,10256,0.21
